control_mode,noise_id,step,method,mean_logscore,std_logscore
zero,W1,0,noise_drpp,-1.4088464277596386,0.3688073938807763
zero,W1,1,noise_drpp,-1.2471596640316336,0.1740809491532783
zero,W1,2,noise_drpp,-1.2885087346979556,0.07000210726711495
zero,W1,3,noise_drpp,-1.78572479733243,0.4262106758420355
zero,W1,4,noise_drpp,-1.5551888535403755,0.12552692129065152
zero,W1,5,noise_drpp,-1.7628888593246566,0.041136777292176976
zero,W1,6,noise_drpp,-2.1198713710466324,0.3869703828971205
zero,W1,7,noise_drpp,-2.270169901090542,0.024781720324668525
zero,W1,8,noise_drpp,-1.7134173146569085,0.03364239532563644
zero,W1,9,noise_drpp,-1.6061135649030622,0.18064101781900568
zero,W1,10,noise_drpp,-1.5378625722944614,0.22229173938309274
zero,W1,11,noise_drpp,-1.1894381283977191,0.09435405822114316
zero,W1,12,noise_drpp,-1.073208364229204,0.13999243241671439
zero,W1,13,noise_drpp,-1.208087338282891,0.07735190029886045
zero,W1,14,noise_drpp,-1.8204113964954542,0.13875920916821544
zero,W1,15,noise_drpp,-1.1250133706095171,0.02686222796370847
zero,W1,16,noise_drpp,-1.1626039139872826,0.026771312158576154
zero,W1,17,noise_drpp,-1.7794139526070663,0.04233762284025854
zero,W1,18,noise_drpp,-1.4654636977748141,0.009901847887335193
zero,W1,19,noise_drpp,-1.6175558731933513,0.16337086525115493
zero,W1,20,noise_drpp,-2.0220615399082256,0.29490454265177535
zero,W1,21,noise_drpp,-1.6418243048745138,0.21457106321329739
zero,W1,22,noise_drpp,-1.432262852153994,0.058027132887373586
zero,W1,23,noise_drpp,-1.9281194564471285,0.20299372882308647
zero,W1,24,noise_drpp,-1.946468075698223,0.09903526627025833
zero,W1,25,noise_drpp,-1.4992284524327761,0.040086954244235466
zero,W1,26,noise_drpp,-1.3667668016107188,0.02294454553873831
zero,W1,27,noise_drpp,-1.6042595364982832,0.05736688503861522
zero,W1,28,noise_drpp,-1.686669713577292,0.23359191326049297
zero,W1,29,noise_drpp,-1.286624125149265,0.12339449351102949
zero,W1,30,noise_drpp,-1.3195529465906803,0.06362680472953867
zero,W1,31,noise_drpp,-1.6111992441402152,0.25183368838996517
zero,W1,0,kde,-1.3315099812899818,0.9400586269861693
zero,W1,1,kde,-1.164163141088403,0.7212781321272451
zero,W1,2,kde,-0.849119222948237,0.06503886621511011
zero,W1,3,kde,-1.7575851601110717,0.985097136214879
zero,W1,4,kde,-1.239380288790821,0.0932272319156323
zero,W1,5,kde,-1.4482601668092423,0.28807536054627786
zero,W1,6,kde,-2.077132952037286,0.9188366314371974
zero,W1,7,kde,-2.4241029792063706,0.14560853255357684
zero,W1,8,kde,-1.2402893343500976,0.06657240651123203
zero,W1,9,kde,-1.2536632424316987,0.5031936063416823
zero,W1,10,kde,-1.3042512131075839,0.15719123264307303
zero,W1,11,kde,-0.7688194813178452,0.0022445027329856624
zero,W1,12,kde,-0.47532396671824395,0.9548242261240714
zero,W1,13,kde,-0.7430219470502393,0.10234133869449376
