control_mode,noise_id,method,overall_mean_logscore
zero,W1,noise_drpp,-1.7330441646681005
zero,W1,kde,-2.610905727714731
zero,W1,oracle,-1.502704767693527
zero,W1,wdrpp_upper,-1.7038907709876372
zero,W1,wdrpp_lower,-1.958973345432693
zero,W2,noise_drpp,-1.7010770227931202
zero,W2,kde,-1.515037467262826
zero,W2,oracle,-0.902052050758997
zero,W2,wdrpp_upper,-1.5509404664007516
zero,W2,wdrpp_lower,-1.9992635087469686
zero,W3,noise_drpp,-1.7776495322779744
zero,W3,kde,-1.6895523234612417
zero,W3,oracle,-1.0017420571085331
zero,W3,wdrpp_upper,-1.6766920683330477
zero,W3,wdrpp_lower,-2.0576669533160015
zero,W4,noise_drpp,-2.2917440743466058
zero,W4,kde,-4.716840087998164
zero,W4,oracle,-1.640640513316304
zero,W4,wdrpp_upper,-1.8986384351970393
zero,W4,wdrpp_lower,-2.0693178983027956
zero,W5,noise_drpp,-1.5805947352140273
zero,W5,kde,-1.4453449283995947
zero,W5,oracle,-1.242453324894
zero,W5,wdrpp_upper,-1.5817977790957327
zero,W5,wdrpp_lower,-1.9414585305887335
zero,W6,noise_drpp,-1.6202306577429826
zero,W6,kde,-1.3587934124469732
zero,W6,oracle,-0.3874441876133412
zero,W6,wdrpp_upper,-1.5155235903996829
zero,W6,wdrpp_lower,-1.975380569051944
pid,W1,noise_drpp,-1.6411360948984839
pid,W1,kde,-1.583349951375548
pid,W1,oracle,-1.3877383496262115
pid,W1,wdrpp_upper,-1.5547305985379898
pid,W1,wdrpp_lower,-1.9323352010651345
pid,W2,noise_drpp,-1.6734706830562267
pid,W2,kde,-1.2524064969754223
pid,W2,oracle,-0.6021291770193979
pid,W2,wdrpp_upper,-1.417598853834022
pid,W2,wdrpp_lower,-2.0215613741872693
pid,W3,noise_drpp,-1.6835923483501891
pid,W3,kde,-2.024286040582101
pid,W3,oracle,-1.0426268070088827
pid,W3,wdrpp_upper,-1.5933378326706709
pid,W3,wdrpp_lower,-1.9960178878220116
pid,W4,noise_drpp,-2.4997175674694248
pid,W4,kde,-6.47776394577336
pid,W4,oracle,-1.4988285895172093
pid,W4,wdrpp_upper,-1.8261931132466924
pid,W4,wdrpp_lower,-2.05863152846255
pid,W5,noise_drpp,-1.6893153452683705
pid,W5,kde,-1.9451834754067698
pid,W5,oracle,-1.242453324894
pid,W5,wdrpp_upper,-1.6682186701656196
pid,W5,wdrpp_lower,-1.998630320414115
pid,W6,noise_drpp,-1.5899534239169957
pid,W6,kde,-1.2785545514436647
pid,W6,oracle,-0.3589669796356355
pid,W6,wdrpp_upper,-1.448275257671645
pid,W6,wdrpp_lower,-1.967766898449501
